;name;engine_power;max_spped;vehicle_transmission;model_date_begin;model_date_end;series;acceleration_time_to_100_km_h;dimensions_height;payload;dimensions_length;number_of_cylinders;wheelbase;curb_weight;dimensions_width;;;
252;3.0;340;250;MT;2011;2012;1ER;4.9;1420;405;4380;6;2660;1570;1803;;;
253;220i;184;230;??;2013;2014;2ER;7.0;1418;510;4432;4;2690;1365;1774;;;
254;220d;184;230;??;2013;2014;2ER;7.1;1418;510;4432;4;2690;1390;1774;;;
255;220i;184;235;??;2013;2014;2ER;7.0;1418;510;4432;4;2690;1350;1774;;;
256;220d;184;230;??;2013;2014;2ER;7.2;1418;510;4432;4;2690;1375;1774;;;
257;M235i;326;250;??;2013;2014;2ER;4.8;1418;510;4432;6;2690;1470;1774;;;
258;M235i;326;250;??;2013;2014;2ER;5.0;1418;510;4432;6;2690;1455;1774;;;
259;218i;136;200;AT;2014;2014;2ER;9.6;1555;500;4342;3;2670;1320;1800;;;
260;218i;136;200;MT;2014;2015;2ER;9.3;1555;500;4342;3;2670;1320;1800;;;
261;218d;150;205;AT;2014;2014;2ER;8.9;1555;500;4342;4;2670;1375;1800;;;
262;225i;231;235;AT;2014;2014;2ER;6.8;1555;500;4342;4;2670;1430;1800;;;
263;218d;150;205;MT;2014;2015;2ER;8.9;1555;500;4342;4;2670;1375;1800;;;
264;318Ci;143;206;AT;1997;2003;3ER;11.1;1372;420;4488;4;2725;1505;1757;;;
265;318Ci;143;206;MT;1997;2003;3ER;10.2;1372;420;4488;4;2725;1465;1757;;;
266;320Ci;170;219;AT;1997;2003;3ER;9.9;1372;420;4488;6;2725;1555;1757;;;
267;320Ci;170;222;MT;1997;2003;3ER;8.8;1372;420;4488;6;2725;1520;1757;;;
268;325Ci;192;230;AT;1997;2003;3ER;8.8;1372;420;4488;6;2725;1575;1757;;;
269;325Ci;186;0;AT;1997;2003;3ER;;1372;400;4488;6;2725;1645;1757;;;
270;323Ci;170;220;AT;1997;2003;3ER;9.7;1372;420;4488;6;2725;1580;1757;;;
271;323Ci;170;225;MT;1997;2003;3ER;8.6;1372;420;4488;6;2725;1540;1757;;;
272;325Ci;192;234;MT;1997;2003;3ER;7.7;1372;420;4488;6;2725;1540;1757;;;
273;325Ci;186;0;MT;1997;2003;3ER;;1372;400;4488;6;2725;1615;1757;;;
274;330Ci;228;0;AT;1997;2003;3ER;;1372;400;4488;6;2725;1680;1757;;;
275;330Ci;231;240;AT;1997;2003;3ER;7.5;1372;420;4488;6;2725;1620;1757;;;
276;330Ci;231;247;MT;1997;2003;3ER;6.9;1372;420;4488;6;2725;1585;1757;;;
277;330Ci;228;0;MT;1997;2003;3ER;;1372;400;4488;6;2725;1645;1757;;;
278;318Ci;118;202;AT;1997;2003;3ER;12.2;1369;500;4488;4;2725;1325;1757;;;
